quoted_at,outward_code,representative_postcode,address1,destination_label,service_window,pickup_after,deliver_before,requested_vehicle,requested_vehicle_type,quote_status,http_status,price_net,price_gross,returned_vehicle_type,pickup_eta,delivery_eta,min_realistic_time,error
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,7.81 GBP,9.37 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:17:21+01:00,45,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:17:41+01:00,42,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,7.81 GBP,9.37 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:17:21+01:00,45,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:17:41+01:00,42,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.81 GBP,9.37 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:17:21+01:00,45,
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,direct_now_asap,,,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T05:47:38+01:00,2026-05-05T06:05:19+01:00,42,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,SW1,SW1A 1AA,Buckingham Palace,Buckingham Palace,direct_now_asap,,,motorcycle,20,ok,200,7.66 GBP,9.19 GBP,20,2026-05-05T05:47:39+01:00,2026-05-05T06:05:00+01:00,45,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,14.39 GBP,17.27 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:47:14+01:00,71,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,15.84 GBP,19.01 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:35:45+01:00,64,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,14.39 GBP,17.27 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:47:14+01:00,71,
